Scraped Locations,Scraped Users,Scraped Reviews,Scraped Ratings,Scraped Dates,Type
Fort Siloso,Sihan Goi,"Very well thought out free attraction. I haven't been here since I was a kid decades ago, so I didn't remember anything, but as an adult with kids myself, I found it very educational and impressive. The linkage to the Skywalk was very well …",5,a month ago,Attractions
Fort Siloso,Derek Hardwick,"Well done Singapore, I really enjoyed the walk around, through the tunnels, listening to the recordings and seeing the diorama and mock up of soldiers and the numerous guns and canons. It is a pity that Australia and New Zealand don't …",5,4 months ago,Attractions
Fort Siloso,Masahiro M,"This historical exhibition facility on Sentosa Island tells the story of wars in Southeast Asia(Especially in Singapore). The explanations are written in three languages: English, Chinese, and Japanese, making it easy to understand. The …",5,3 weeks ago,Attractions
Fort Siloso,krisnarta sembiring,"If you enjoy both history and physical activity, this place will suit you perfectly. This place provides a lot of information and interesting facts about the second world war particularly in Asia-Pacific theatre. Do not forget to bring …",5,3 months ago,Attractions
Fort Siloso,The Swaggie,"All you need to know 🌴⚔️🎺

Entrance …",5,2 months ago,Attractions
Fort Siloso,Simriti Bundhoo,There's a lot of signage and maps guiding the visit but the order you wanna visit each underground sites and the fort is up to you. It's so cool that such an incredible trove of history is free and you get to experience the sombre …,5,2 months ago,Attractions
Fort Siloso,Sujay Sreekumar,A nice war museum at a fort kind of location. A long walkway to reach here with fabulous views. Lovely atmosphere and a worthwhile visit to the museum possible. A little away from the hussle and bustle ofnthe main sentosa area.,5,3 weeks ago,Attractions
Fort Siloso,Fuori Onda,"If you like military history, you would like this place. Interesting explanation of Singapore's involvement in 2nd WW. Definitely not for everyone but a must for history enthusiasts as miself",4,2 weeks ago,Attractions
Fort Siloso,Jennifer Liepin,"Pros: it’s free, I like military history, I’m glad they preserved this. The Skywalk offers great reviews.
Cons: it’s probably not a fun place to take kids or most people :) displays …",4,4 months ago,Attractions
Fort Siloso,Sowmya Shree,It was an amazing learning experience about the world war 2.  Very so documented and artefacts depicting the lives and tales of the war stricken country and its people. …,5,a month ago,Attractions
Fort Siloso,Shynn Loh,"Very interesting place to learn about the history of Singapore during the Japanese Occupation.
The bunkers and tunnels are still well kept and intact. …",5,5 months ago,Attractions
Fort Siloso,barb weber,This place is really cool. Suggest taking the sky walk way which is free then the rest of the exhibition  are all going down  instead of walking up.  Some of the exhibition  will be active  when you walk into they and tell you what is happening all in english.  Great place for history people.  Everything is marked really well.,5,6 months ago,Attractions
Fort Siloso,M Sohaib Siddiqui,Location: beautiful and elevated; gives you fantastic views of Singapore mainland and Sentosa from the Skywalk. …,4,3 weeks ago,Attractions
Fort Siloso,Miles Macdonald,"I loved this place. Whilst crowds of people head for the ""modern entertainment"" attractions like the luge runs, theme park, aquarium, etc, this place is not only quiet and peaceful, but full of historic interest. Just follow the heritage …",5,6 months ago,Attractions
Fort Siloso,Teck Chong Law,"This place is less popular among both local and overseas visitors.

You can enjoy the walk, the peaceful environment, take photos with no people …",4,9 months ago,Attractions
Fort Siloso,Anubhav Garg,"The skywalk is worth it, its free entry and have a very great view.

The fort entry closes at 6 PM. But skywalk is open until 8 PM.",4,a month ago,Attractions
Fort Siloso,Rolf Swinzitzki,"Enjoy the Siloso Skywalk till Fort Siloso.
Very interesting exhibition about the Japanese occupation of Singapore till the unconditional surrender of the Imperial Japanese Army",4,2 months ago,Attractions
Fort Siloso,Farid Mardhiyanto,"One of my fave places in sentosa.
To come here you need to take the bus from the train station. Don't worry the bus comes frequently. …",5,7 months ago,Attractions
Fort Siloso,Moses Lim,I love it man! people go for beaches in sentosa i’ll go to Fort Siloso! The history of sentosa is showcased well here! best part it’s free 🆓 soooooo go for it …,5,3 months ago,Attractions
Fort Siloso,Battler1975,"For the WW2 history buff this is a low cost but highly rewarding tour to commemorate the defense of Singapore.
Recommend mapping your tour of the island beforehand because it's a wee bit …",4,a month ago,Attractions
Fort Siloso,Louise Rushmere,Amazing place to visit for an insight into WWII Singapore.  Get the round trip cable car from Mount Faber and walk the last 5 mins on the sky way. Allow a few hours for wandering around.  Sky walk and museum are free,5,11 months ago,Attractions
Fort Siloso,Damcho Tshering,"Visited Fort Siloso on Sentosa Island, and I was impressed by how much it offers as a free attraction. It’s Singapore’s only preserved coastal fort, and walking through the WWII-era bunkers, gun batteries, and interactive exhibits gave me a …",5,9 months ago,Attractions
Fort Siloso,lontongstroong,"Finally back after 15 years and glad to see NParks get their acts together in making the experience much more enjoyable for everyone (not only for history buffs). Back in the day, the compound was much grubbier and not-so-well maintained. …",5,4 months ago,Attractions
Fort Siloso,Forest BK,"A historical site with plenty of history and lots of historic monuments and artifacts that are on display.
Very educational and interesting. …",5,a year ago,Attractions
Fort Siloso,Phoena Chong,A well spent afternoon at this location. Best way to start with lift to the skywalk then slowing walking down from there for different pitstop for Singapore's history.,5,4 months ago,Attractions
Fort Siloso,Mohammad Firdaus,"After 30 years, I had the pleasure of revisiting Fort Siloso, and while much has changed, the essence of Singapore’s coastal defense history remains as powerful as ever. …",5,11 months ago,Attractions
Fort Siloso,Dr. Tanveer Ahmed,"A calm and beautiful serene place to visit with friends and family.

From the Sentosa mainland, you can take the Skywalk through the lift to reach …",5,10 months ago,Attractions
Fort Siloso,Wesley Wong,"Fort Siloso is located at the western end of Sentosa Island. You can reach it either by taking the scenic Skywalk or by hiking up the hill. The site is generally uncrowded, allowing for a peaceful visit. Informational displays throughout …",3,a year ago,Attractions
Fort Siloso,Christopher Frey,Eerie open air history museum tucked away on the Western corner of Sentosa. Was pretty well done with multiple exhibits throughout the fort. Was fun to explore and even had an elevated walkway with nice views too. Maybe not a must-see attraction but worth a look for extended stays.,4,a year ago,Attractions
Fort Siloso,Me T,"I say a definite must visit for any history lover or army enthusiast. 2 hour at least to really go through everything, can start walking around 9.30am onwards, but certain rooms will only open at 10am. Some pretty expensive vending machines …",5,a year ago,Attractions
Fort Siloso,Judy McConnell,"Nice park.  Well worth the visit.  If you like history you will enjoy this park.  We spent about 4-5 hours in the park,  we read & and saw everything.  I recommend taking the cable car to Fort Siloso.  The view is beautiful.  We took the cable car from Mt Faber.",5,a year ago,Attractions
Fort Siloso,Bodhisattwa Majumder,Skywalk is brilliant but the museum is okayish. Lot of walking less stuff to see.,5,3 months ago,Attractions
Fort Siloso,Aristides Wade,"Nice museum and park. The Skywalk as the first thing was a surprise but great view of Singapore and Sentosa area. Also nice info boards under shade. Not big, easy to walk, many of the bunkers are open. A little more direction info would …",5,a year ago,Attractions
Fort Siloso,James Thompson,Great location to understand a bit of singaporen histroy and see some cool war artifcats. I had limited time but managed to get a look at everything in about 2 hours. There is a large variety of dispalys and dressed up manikan. The displays …,5,a year ago,Attractions
Fort Siloso,Bob H,The skywalk getting to the fort was most impressive with a great view. The actual fort displays generally are well thought out yet need some work to make them top-notch. …,4,2 years ago,Attractions
Fort Siloso,Dan Manners,"Excellent WW2 site.
However the Tram is $4 and I had to wait for 5 trams due to crowd. Then take beach bus.",5,a year ago,Attractions
Fort Siloso,Fekete Márk,"Very nice museum and installation, also beautiful views from the surroundings. Admission is free. It was really interesting to learn about the military history of this area.",5,a year ago,Attractions
Fort Siloso,Thomas Schneider,"A very well-kept site to explore with historical insights. The high temperature, the high humidity and the natural noises in the surroundings only give an idea of what it must have been like for the soldiers in those unpleasant times.",4,a year ago,Attractions
Fort Siloso,Tom Allen,"Interesting cultural heritage site. I was fascinated by the exhibits and the information provided. The Fort Siloso Sky Walk is a good addition for easier access, even though I also enjoyed hiking the Siloso Trail on an earlier occasion. My …",5,Edited 2 years ago,Attractions
Fort Siloso,MCM,"Must visit while on a Singapore tour. Well maintained and preserved fort. Takes you back to WWII days and you start relieving in the era. The staff at Fort Siloso are so cordial that they offered us rain coats for free, where as Universal Studios charged $5 for each.",5,2 years ago,Attractions
Flower Dome,Ai Bagalso,"Super loved this place. Perfect for plant, flowers, cactus and succulent lovers. It was so amazing how diverse the plants here are and was wondering how do they take care and maintain all of it. You can feel how fresh the air inside and …",5,a week ago,Attractions
Flower Dome,Niel J.,"The Flower Dome at Gardens by the Bay is a must-visit spot in Singapore, especially for anyone who loves plants, flowers, or beautifully designed indoor spaces. It’s one of the largest glass greenhouses in the world, and stepping inside …",4,2 months ago,Attractions
Flower Dome,Alison Lim (Aly),The flower dome was cooling and had many flowers. The cooling atmosphere was made by piping systems and not air-conditioners which is really eco friendly! I suggest to go on Saturdays as there are schools providing free guided tours. I suggest to go during late July to mid-August for the free tours.,5,2 weeks ago,Attractions
Flower Dome,Van Tran,"The Flower Dome was such a peaceful escape from the heat!

Beyond the beautiful flowers, there’s an incredible variety of plants, from …",5,a month ago,Attractions
Flower Dome,Benedict Correya,"The Flower Dome is an incredible, air-conditioned greenhouse filled with beautifully themed gardens and a huge variety of exotic plants from around the world. The displays are always changing, so every visit feels fresh and unique. The dome …",5,a week ago,Attractions
Flower Dome,Rashidul Hasan,Great place for flower lovers. They maintain a very cold temperature here. Loads of different varieties of flowers to see. Enjoyed the coffee at the beautiful coffee shop inside the dome. Nice gentlemen in service. Overall a likable and famous tourist destination this. Not for me though! But good to have a go.,5,a month ago,Attractions
Flower Dome,Hadia Azed,"The Flower Dome is a cool, peaceful escape from Singapore’s heat.

Gorgeous blooms, creative displays, and wide paths make it easy to explore. …",4,a month ago,Attractions
Flower Dome,Joni Siah,Great place for flower lovers! They change the theme every few months. The displays are always enchanting and beautiful. Recently saw the Rose Romance 🌹 display. Best to go on weekdays to avoid the crowds! …,5,a month ago,Attractions
Flower Dome,TO THI THU THAO,"⭐️⭐️⭐️⭐️⭐️
The Flower Dome is absolutely stunning! 🌸 I loved the colorful flowers and the amazing cactus and succulent collections 🌵. Everything is beautifully arranged, peaceful, and perfect for photos. A must-visit spot in Singapore! …",5,a week ago,Attractions
Flower Dome,Heidi,"Absolutely loved the chill vibe inside the Flower Dome! It's not just about flowers (though those are stunning too) — there’s a whole variety of plants, including unique succulents and greenery from around the world. The ticket comes as a …",4,2 months ago,Attractions
Flower Dome,Vaibhav Jain,"The Flower Dome is located inside Gardens by the Bay. Generally, Gardens by the bay bundle tickets are available online, which includes Cloud Forest and  Flower Dome. They're both equally impressive and require at least a day's time to …",5,2 months ago,Attractions
Flower Dome,vineeth venugopal,"The Flower Dome at Gardens by the Bay is a truly magical place. The beautifully landscaped gardens showcase unique plants and flowers from around the world, arranged in stunning themed displays. Walking through the dome feels like stepping …",5,a month ago,Attractions
Flower Dome,Bharti R,I have Got annual pass for flower dome.They used to exhibit seasonal Flowers all round the year. Those who love flowers don't miss to explore this place. Recently visited rose romance display.Definitely worth buying pass.,5,a month ago,Attractions
Flower Dome,Eugene T,We visited the Flower Dome during the theme of Tulipmania and it was absolutely gorgeous. The exhibit had just kicked off so the tulips were still fresh and not completely opened. It’s indoors and air conditioned so definitely a place to …,5,3 months ago,Attractions
Flower Dome,김채은,"If you're more a fan of flowers in a natural and unadorned setting, you may not be too impressed. Personally, I appreciated the thorough organisation of this beautiful garden. The air-conditioning also helped enjoy the space without …",5,a month ago,Attractions
Flower Dome,Coralie Pattenden,"Absolutely loved my visit to the Flower Dome! The entire place is beautifully maintained, cool and comfortable, and perfect for a leisurely wander surrounded by nature’s finest. I was fortunate to visit during the Tulip Festival, and it was …",5,3 months ago,Attractions
Flower Dome,Yee Gan Ong,Flower Dome is one of 2 dome experiences in Gardens by the Bay. We loved Cloud Forest more but that’s only because it was stunning. Flower Dome is still a 5 star experience but just didn’t have the surprises we found next door …,5,3 weeks ago,Attractions
Flower Dome,Deepak Pant,It was a very nice experience to visit the world's largest greenhouse. The plants are absolutely beautiful. Take enough time as you need it to visit different sections from all over the world. The food at Hortus restaurant was amazing. Very nice fine dining experience.,5,a month ago,Attractions
Flower Dome,Melia,"Botanical wonderland. So many flowers and plants to admire. Even on a crowded day, the high ceiling of the dome softens the noise, making for a relaxing experience. It was nice to get away from the summer humidity and walk in the …",5,a month ago,Attractions
Flower Dome,Rhys Foley,"Absolutely breathtaking. The Flower Dome is the largest greenhouse in the world, and honestly, it lives up to the title. It’s incredible how much plant life they’ve managed to pack in - flowers, succulents, trees, vines - all from different …",5,2 months ago,Attractions
Flower Dome,shakur bala,We had a great time at the Flower Dome and cloud forest at Gardens by the Bay. The tulip display was absolutely stunning—so many vibrant colors and beautiful arrangements. It’s amazing to see such a wide variety of plants and flowers from …,5,3 months ago,Attractions
Flower Dome,Damcho Tshering,"The Flower Dome at Gardens by the Bay was amazing! Super cool inside (literally and figuratively) with flowers from all over the world. Great spot for photos, relaxing strolls, and escaping the heat. My family loved it, especially the themed displays. Totally worth checking out if you're in Singapore.",5,3 months ago,Attractions
Flower Dome,Dennis Wong,"July 2025, this is the rose exhibit. It is good to take photos but pls go during off peak where there is lesser crowd.
It is generally wheelchair friendly good to go with elderly. The temperature is just nice. Esp during the hot inter monsoon season.",4,Edited a month ago,Attractions
Flower Dome,Anh Ngọc Nguyễn,"The Flower Dome is truly a breathtaking experience! As soon as you step inside, you're welcomed by a cool, refreshing atmosphere that feels like a spring garden all year round. The variety of flowers and plants from all over the world is …",5,4 months ago,Attractions
Flower Dome,pian semper,"The Flower Dome’s rose displays are absolutely enchanting—a sea of vibrant colors, delicate petals, and sweet fragrance. From classic reds to rare shades, each rose feels like a work of art. A floral dream come true for rose lovers! 🌹✨ …",5,a month ago,Attractions
Flower Dome,Wandering Sapiens,Wide variety for flowers both local and from around the world. Even the decorations and exhibits are good. But for me personally I did not feel this place is worth the price or even of my interest. The only reason I visited this place is because the tickets are bundled with Cloud Forest.,3,a month ago,Attractions
Flower Dome,Crow Key,"Its covered & centalized AC, perfect for any weather. Although it might not be interesting to some, since its all about flowers. But seeing the elderly so interested in floral facts & photography makes you smile. Might come back once I'm …",4,a month ago,Attractions
Flower Dome,Rohim,"Flower Dome – A Colorful Wonderland of Blooms! 🌸🌿

Walking into the Flower Dome at Gardens by the Bay felt like stepping into a …",5,6 months ago,Attractions
Flower Dome,ZhongMing Thong,"A nice place for nice tourist attraction. Good location for family gatherings, enjoying the wonderful views of the different event displays works. …",5,3 months ago,Attractions
Flower Dome,Harshani Fdo,"I recently visited the Flower Dome at Gardens by the Bay, and it was truly a delightful experience. The dome is impressively vast and beautifully designed, housing a diverse collection of plants from Mediterranean, Australian, South …",5,3 months ago,Attractions
Flower Dome,Pongsarun Phumtip,"Review: Flower Dome, Gardens by the Bay

🌟 Rating: 4.7/5 …",5,2 months ago,Attractions
Flower Dome,Maciej Karaszewski,"Impressively looking place with vast collection of plants, divided thematically. Smells are just wonderful. However, two sections were closed for the public due to private events. Since you have to pay for the ticket, this should not happen …",4,a month ago,Attractions
Flower Dome,SANKET SONAWANE,"The Flower Dome at Gardens by the Bay is a breathtaking celebration of nature, design, and innovation! 🌸✨ As the world’s largest glass greenhouse, it offers a stunning display of vibrant flowers, rare plants, and themed gardens from …",5,5 months ago,Attractions
Flower Dome,David Moh,This is a large pillarless indoor greenhouse spotting a wide variety of beautiful flowers from different countries around the world. …,5,4 weeks ago,Attractions
Flower Dome,Harsha,A must visit site. The ticket price is worth every penny and it is not at all considered expensive for the experience. Spectacular. Excellent. Amazing place. Exceptional. A subset of 1.5 million plants exist in the flower dome. Can't speak enough about how great a place it is.,5,4 months ago,Attractions
Flower Dome,A S,"This is a must-visit place for folks visiting Singapore.

You will enjoy walking in cool comfort to view flowers that are displayed …",5,a month ago,Attractions
Flower Dome,Tay Kin How,"The Flower Dome at Gardens by the Bay is a breathtaking, air-conditioned conservatory filled with vibrant blooms and plants from around the world. …",5,Edited a week ago,Attractions
Flower Dome,Andrew déChavéz,"this place is just simply a paradise, you can find almost all kinds of plants under one roof. you will be stunned anywhere you look like all the flowers are beautiful especially the tulips. i can compare these tulips to the ones found in Ba …",5,2 months ago,Attractions
Flower Dome,Achini Purnima,"I recently visited the Flower Dome at Gardens by the Bay, and while the overall dome was nice, it honestly didn’t feel as impressive as I expected. But one part truly stole the show, that was  the Rose Romance exhibition.🌹🌹🌹🌹 …",5,4 weeks ago,Attractions
Flower Dome,rudy lee,"This flower dome is a living dream — lush, vibrant, and impossibly beautiful. No matter how many times I return, its magic never fades. The air is cool and fragrant, bursting in colour at every turn. It’s like strolling through a curated …",5,2 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Ravimaran,"I didn’t know what to expect when I visited Esplanade ,Theatres on the Bay, but it turned out to be an amazing experience! The building itself is really cool to look at, and there’s a great vibe in the area. I caught a free performance at …",4,4 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Johann DG,"A truly iconic place in Singapore!

As someone who enjoys music, culture, and peaceful scenic spots, I really love …",5,a month ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Elaine Quek,"my favorite place to spend a Saturday night. Great free performances, the waterfront and beautiful bright lights, what's there not to like.",5,a month ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Lam Phung Le Quynh,"The rooftop view was amazing!!! Caught 2 free performances before leaving. Highly recommend going on weekends or public holidays. There are shops, restaurants and free performances. Best place to spend a day😎 …",5,4 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",TLC Is In The House,Ventured out here on a Saturday night specially for a concert. We didn't enjoy the crowds of shoppers and the others wandering around hunting for dinner. …,4,2 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Frederick Tan,"A Soulful Evening at the Esplanade: ""A Tapestry of Sacred Music"" - A Journey Beyond Words and Light. …",5,4 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",John Gomez,"Went for the mother's concert. Music equipment was marvellous.
Beside the usher was well trained and lead to ur seat booked.
Beside that the sence around good place for photos.",5,3 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",grace loo,"The Esplanade Concert Hall is very comfortable, with perfect air-conditioning and a smooth, well-organized entry and exit. The sound system was excellent, and the Cat 1 , Circle 1 and 2  seats had a great view. However, the view from Circle 3 may not be suitable for concerts.""",4,2 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Vipin Anand V P,"Visited the Esplanade Theatres on the Bay Area in the evening, and though I couldn’t catch any shows, the architecture itself is a must-see! The unique “durian” design stands out beautifully, especially when illuminated at night. Outside, …",5,6 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Wisanu Tuntawiroon,"Esplanade - Theatres on the Bay is more than just a performing arts centre; it's an architectural icon, a cultural heartbeat, and a testament to bold design. Affectionately nicknamed ""The Durian"" by locals due to its striking resemblance to …",5,4 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Anthony K,Great theatre with excellent acoustics and comfortable seats. The view from the balcony is pretty good so you don’t have to buy the most expensive tickets to enjoy the show. Good and helpful ushers. The location is within walking distance to Suntec City and Raffles City.,5,7 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Anggita Aufa Fakhri Zidan,"the first ever orchest concert i've attended is here! got me goosebump everytime i remembered it. If i have a chance to go to SIngapore, i would definitely visit this place again",5,3 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Alan Lye,Esplanade Theatre Hall is an engineering marvel with sophisticated sound system. Perfect for recital.,5,2 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Veronica Ika,"We didn’t go inside the Esplanade for a show or shopping—just passed by on our walk towards the Merlion. What caught our interest was its unique exterior, which really does look like a durian! The surrounding parks are lovely and would be a …",5,6 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",H,"This place hosts so many theatre and music performances, there is literally something for everyone. After the show, go out to the waterfront for a walk!",4,5 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Chang Soong Boey,"No event. I'm just walking and exploring. The sun heat was superb. Luckily, there were shades around, drinking water points (can be found outside restroom), restaurants, and drink kiosk around.
Scenery and MBS  were beautiful.",5,11 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Skull Crusher,The Esplanade very popular place at Singapore. It's located along the beautiful Marina Bay waterfront. …,5,Edited 2 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Gustavo Orellana,Got there by just walking around but ended up staying an hour because the place is very pretty and the theatre is beautiful. In the summer it was quite hot but worth it to have a clear view of the buildings here. On. The other side you can …,5,a year ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Gatsby,"Such a great expert here.
The concert hall is not that big so it was enough to enjoy the show even seating at the circle 2.",4,4 months ago,Attractions
"Esplanade - Theatres on the Bay, Singapore",Mei Li Tan,Always great here! One of my favourite places in Singapore. The only thing I don't like: it's impossible to get here from the mrt station with a stroller. At one point there are escalators with no lifts anywhere.,5,4 months ago,Attractions
Duxton Plain Park,Chuckleberry Fan,Actually a surprisingly nice park with chickens & various plants. You can hear the roosters at 5pm. Hidden gem. Interesting statues & installations as well.,5,2 years ago,Attractions
Duxton Plain Park,Forest BK,"Duxton Plain Park connect New Bridge Road to Yan Kit Road.
It's like a park connector connecting both roads.
This neighbourhood linear park provide a quiet retreat to the hectic city life. …",4,a year ago,Attractions
Duxton Plain Park,Khuresh Faizullabhoy,"Walked down this narrow, tree lined, green path flanked by the Duxton shop house eateries - exiting at Duxton Plain Park! It was a peaceful/serene walk in the heart of bustling Duxton. Some of the shop houses are painted in eye catching …",5,3 years ago,Attractions
Duxton Plain Park,Ice Qu,"There is such a pleasant neighborhood vibe at this park. Great for exercising, people watching and even just sitting down to rest. You'll find exercise stations with fun things to keep you fit. There are swinging benches and shady or sunny areas. A very nice link through neighborhoods.",5,7 years ago,Attractions
Duxton Plain Park,chin wey ngee,"Combi of old & modern, high scraper & shop houses.  Area full of history to explore.  Good plc to walk around.  Many good food & nice Cafe within walking distance.",5,4 years ago,Attractions
Duxton Plain Park,Alan Chang,I've passed here a few times during the day and never in the night but there are 2 heritage trees that always fascinate me. One is a Bodhi Tree and another is a Indian Rubber Tree.,4,6 years ago,Attractions
Duxton Plain Park,Jimmy Ong,Met an old black cat. Same spot every morning. And some kind of memorial monument.,4,8 months ago,Attractions
Duxton Plain Park,ANSEL CHONG,"Small lovely park with trees and houses lining on both sides of the track.  There chickens here roaming around which is rather unique in urban Singapore.

17012020",5,5 years ago,Attractions
Duxton Plain Park,Lyndon Lim,HPL Canopy link. Nice walk at 6pm. Not too hot as sun is setting.,5,2 years ago,Attractions
Duxton Plain Park,John a,"A nice green space to get off the nearby streets full of traffic, and still walk from Chinatown toward Tanjong Pagar. Birds and animals abound, old shophouses with spiral staircases offer a sense of color and architectural history along your walk.",5,3 years ago,Attractions
Duxton Plain Park,Adrian Yong,Great place for a night out .... Plenty of F&B outlets all within walking distance of 2 MRT stations.,4,6 years ago,Attractions
Duxton Plain Park,Cécile,Nice clean and green area in the middle of the city. Feels quite relaxing and chill to go through. Very convenient to reach Outram Park MRT from duxton or go in between roads using the shortcut,5,6 years ago,Attractions
Duxton Plain Park,Matt C,Nice walkable park area quite spacious and green to enjoy,5,5 years ago,Attractions
Duxton Plain Park,Eva B,"On my first holiday day in Singapore, I 'accidentally' found this park, venturing off Chinatown.
I'm an avid bird watcher and was very happy to spot six types of birds, including some kind of woodpecker. Loved it!",5,a year ago,Attractions
Duxton Plain Park,Paul Kuo,A quiet sidewalk behide the buzz area. Feel calm and relieved while walking through this greenery path.,5,Edited 5 years ago,Attractions
Duxton Plain Park,C P (cP),Pleasant walk along this stretch with nice view of the Pinnacle at Duxton and old shop lots at the side.,5,7 years ago,Attractions
Duxton Plain Park,Andreas DSGNR,Yt: Andreas.dsgnr,5,4 months ago,Attractions
Duxton Plain Park,Chek Chee,Love this walking path. There are chickens to look at,5,2 years ago,Attractions
Duxton Plain Park,Donna Cashore,"A lovely walk down the center of Bukit Pasoh. The Kranji railway used to run through here. There are beautiful views of spiral staircases that were used by night soil collectors. This is where the nearby Chin Woo Athletic Association practices Martial arts here on Sundays. As a child, Lee Kwan Yew used to watch them here.",5,a year ago,Attractions
Duxton Plain Park,John Muzi,Nice place ro walk in Chinatown Singapore.,4,2 years ago,Attractions
Duxton Plain Park,Chris Tan,A green space in the middle of city.  Has a rich history of how the early settlers stayed here.  There are a lot of shop houses here that are being conserved and they show the mesh of European and Peranakan styles.,5,6 years ago,Attractions
Duxton Plain Park,Raveen Misra,A slither of a green belt in the city. Flanged by shop houses and great big urban housing blocks. The wild pheasants are a nice suprise. Spotted with many hidden gems from one end to another.,5,6 years ago,Attractions
Duxton Plain Park,Jane N,"Charming park behind near Pinnacle. Nice place to relax, there are a few benches around. There’s a hidden shortcut to Bukit Pasoh Rd, a staircase going through the shophouses.",5,Edited 6 years ago,Attractions
Duxton Plain Park,DoRiS C,Nice linear park to walk through in the day time.,5,9 years ago,Attractions
Duxton Plain Park,david goh,Nice park,5,3 years ago,Attractions
Duxton Plain Park,Aloysius L,Something about city parks just works!,5,Edited 3 years ago,Attractions
Duxton Plain Park,Mark Louie Maycong,This place is for everyone. Mostly locals who want to exercise and just relax!,5,a year ago,Attractions
Duxton Plain Park,Jim Koh,Just a lovely location for touring...leads to all kinds of wonderful places that are very well conserved. Lots of great food all over!,5,5 years ago,Attractions
Duxton Plain Park,Jeanette Tan,"hidden gem near holland v.. great place for parkour, or just a stroll.. feels like stepping into a different dimension there.. doesnt feel like SG at all..",5,5 years ago,Attractions
Duxton Plain Park,Cheryl Loo,Nice place to walk and relax. Chickens here are plentiful.,4,2 years ago,Attractions
Duxton Plain Park,Calvin Sim,Interesting and idyllic park connecting Tanjong Pagar and Chinatown that cuts across Keong Saik and Bukit Pasoh stretches of establishments,5,3 years ago,Attractions
Duxton Plain Park,mark Shen,I enjoyed walking here and taking in the beautiful sights.,5,a year ago,Attractions
Duxton Plain Park,jiun yang,This park was close to my hotel when I went for business trip. I enjoyed my walk to the meetings every morning when I walk to the office.,4,6 years ago,Attractions
Duxton Plain Park,Tomás Teixeira,Had a peaceful walk here. Highly recommended!,5,a year ago,Attractions
Duxton Plain Park,Muhammad Zakariyya,Best places to relief yourself to the almighty,5,5 years ago,Attractions
Duxton Plain Park,Matthias Görgens,"Great little park close to Chinatown. A favourite for the exercise corner, too.",5,5 years ago,Attractions
Duxton Plain Park,Primero Raj,"The place is quiet, but the basketball court is always full",4,4 years ago,Attractions
Duxton Plain Park,Sri Narayan,Very good place to visit for prayers as temple is open to all.,5,6 years ago,Attractions
Duxton Plain Park,Ted Charles,"definitely the best plain park in all of Singapore. so plain, so good.",4,Edited 4 years ago,Attractions
Duxton Plain Park,Jason Kim,My dog loves this place! Quiet and peaceful,5,4 years ago,Attractions
Duxton Plain Park,Cedric King,A little park connector that connects from The Pinnacle@Duxton to Chinatown. There is a grave along the way too.,4,7 years ago,Attractions
Duxton Plain Park,Chia Keesom,Spacious the belly pork 🐷 very nice a lot of varieties …,5,7 years ago,Attractions
Duxton Plain Park,Nagu Koppula,"Nice to walk, very pleasent and peaceful",5,4 years ago,Attractions
Duxton Plain Park,Kok Leong Loo (stanleyloo),Nice little park that links Chinatown to Tanjong Pagar,4,8 years ago,Attractions
Duxton Plain Park,RNO,Nice Christmas event. Was enjoyable,5,a year ago,Attractions
Duxton Plain Park,G C,Quiet with beautiful trees and architecture. Too small though!,5,6 years ago,Attractions
Duxton Plain Park,A H,"Nice, quiet and green pathway with some benches",5,7 years ago,Attractions
Duxton Plain Park,Jyeo T H,Its a concrete park. Near to keong saik road,4,6 years ago,Attractions
Duxton Plain Park,Kathryn Fielding,Nice easy walk in city centre,4,5 years ago,Attractions
Duxton Plain Park,Matthew Kwan,Nice park that links Chinatown to Tanjong Pagar.,5,7 years ago,Attractions
Duxton Plain Park,R L,Almost doesn't feel like you're in Singapore!,5,8 years ago,Attractions
Duxton Plain Park,Kitty Kitty,Roosters,4,5 years ago,Attractions
Duxton Plain Park,Toh Kah Lun,Nice place to catch pokémon,3,6 years ago,Attractions
Duxton Plain Park,Dianna Khoo,Most interesting neighbourhood,4,6 years ago,Attractions
Duxton Plain Park,KongMeng Tan,Cosy and clean area.,4,4 years ago,Attractions
