,Scraped Locations,Scraped Users,Scraped Reviews,Scraped Ratings,Scraped Dates,Type,relevancy,
134,Supertree Grove,Chihiro Ito,"We took a walk around the area on our first night in Singapore. I was not sure if I would like it as it seemed artificial, but to my surprise, it was a pleasant visit. It is a little far from other parts of the city, but it is worth the visit. The park is free to enter and walk around, unless you want to go to indoor gardens.",5,3 months ago,Attractions,,
135,Supertree Grove,Michelle Spencer,"Beautiful way to see Marina Bay, light show is free and does not disappoint, take enough time to walk around as the place is big. Beautiful for kids.",5,2 weeks ago,Attractions,,
136,Supertree Grove,Traves O'Neill,"Gardens by the Bay is a must-see. Although I only had a couple of hours to explore, we walked through the outdoor gardens and really enjoyed the Supertree Grove. It was definitely worth paying the extra fee to access the skywalk—the view from above is incredible.",5,a month ago,Attractions,,
137,Supertree Grove,Alan Shipman,Unique attraction. Great view of Gardens By The Bay and Marina Bay from the top observation deck during the day. Planning to return for the night light show.,5,a month ago,Attractions,,
138,Supertree Grove,Charlotte Cowley,An excellent (and free) activity in Singapore! The gardens are extensive and you can easily spend a few hours just walking around. There are a few shops for refreshments and food and the entrance to the cloud forest and flower dome are also …,5,5 months ago,Attractions,,
139,Supertree Grove,Igor Chlebda,I was so lucky to make it there in time for the light show! I highly recommend it! There is a little meadow in front of the Super Trees where you can sit down and enjoy the whole thing. It would advise you peeps to come there a bit earlier to secure a nice spot! I was there around 8:20 :)! May the force be with you!,5,5 months ago,Attractions,,
140,Supertree Grove,Huong Mobert,"Beautiful scenery, honestly breathtaking. Got lucky and came at a pretty empty time on a Sunday, had a nice breeze going today so it was a great relaxing space.",5,a month ago,Attractions,,
141,Supertree Grove,Simriti Bundhoo,"I would advise you to go at night, as that's when the two light shows (one at 19.45 and the other at 20.45) happen. It's a place that sets itself apart as such as a light display followed by an immerive aurora experience is unique and you won't get to see this anywhere else. And it's all for free!",5,2 months ago,Attractions,,
142,Supertree Grove,Shaïmaa A,"Absolutely stunning light show! It was magical from start to finish creative, immersive, and beautifully executed. The atmosphere was mesmerizing and the visuals were truly breathtaking. A must-see experience that exceeded all expectations!",5,4 weeks ago,Attractions,,
143,Supertree Grove,Gaurav Rathore,"Awesome view in night. A great architecture by Singapore for tourist attraction. Light show is awesome. Walkable distance and beautiful during the walk. Accessible with metro, bus and through Marina bay.",5,4 months ago,Attractions,,
144,Supertree Grove,Gab Dilworth,"This was a cool thing to do and see, and the view is great. What clever engineering! More than just vertical gardens offering great views, they also harvest rainwater and solar energy, among other sustainable functions.",4,4 weeks ago,Attractions,,
145,Supertree Grove,Lavi Shiffman,"Gardens by the Bay in Singapore is an amazing and beautiful park that shows how you can combine a city with gardens. There are amazing botanical gardens, well-kept plants and flowers, and neat paths that are fun to walk on. The highlight of …",5,6 months ago,Attractions,,
146,Supertree Grove,Kai W,Came here for the light show in the evening. Very relaxing and you get to listen to music as the trees display different colours and patterns in time with the music. Atmosphere was really nice and not too crowded so there is always a place to stand or sit (most people sit or lie down). Worth the visit!,5,3 weeks ago,Attractions,,
147,Supertree Grove,Archie's Bar,"We visited the supertree grove, which is free and very impressive, especially at night. We also visited the Flower Dome & Cloud Forest, which were great value and well worth the visit, especially the Cloud Forest. It was a lot cooler inside both buildings, which was a nice reprieve from the Singapore heat.",5,2 months ago,Attractions,,
148,Supertree Grove,Cameron Hanks Photography,"Such a surreal and beautiful experience. The Supertrees are even more impressive in person, especially at night when they light up during the show. It’s free to walk around, and the atmosphere is really peaceful despite being a popular spot. Definitely a must visit if you’re in Singapore!",5,2 months ago,Attractions,,
149,Supertree Grove,Julius Tan,"Especially mesmerising during the recent borealis show, also quite pretty during the light show at night. Admission to the light show is free.",4,a week ago,Attractions,,
150,Supertree Grove,Angelo Apilado,"Visiting Supertree Grove was an unforgettable experience! The light and sound show was absolutely mesmerizing – a perfect blend of stunning visuals and music. There were plenty of food and drink options available, making it easy to find …",5,4 months ago,Attractions,,
151,Supertree Grove,Red Cullers,"We loved the observation deck. There's a nice cafe up there with coffee and sweets, and the views are incredible. The wind blew up a storm while we were there and the upper deck was closed, but we enjoyed our time on the lower deck.",5,2 months ago,Attractions,,
152,Supertree Grove,Alec Tseng,"We visited Supertree Grove on a cloudy morning, and even in daylight, it already felt otherworldly—like walking through a futuristic jungle. People say it looks even more like Avatar at night with the lights on, but honestly, it was already pretty amazing during the day. Such a cool and iconic place!",5,4 months ago,Attractions,,
153,Supertree Grove,Taz Tatt,"A Magical Evening at an Iconic Singapore Landmark – Gardens by the Bay

On this trip to Singapore, I made sure to revisit one of the city’s most iconic …",5,3 months ago,Attractions,,
154,Supertree Grove,Meenakshi Jain,"Wonderful experience...beautiful amazed..

Night show is also awesome. …",5,2 months ago,Attractions,,
155,Supertree Grove,Aniq Ansari,"I visited Gardens by the Bay in July 2025, and it was honestly one of the most magical places I’ve ever seen in Singapore. …",5,2 months ago,Attractions,,
156,Supertree Grove,Mohammed Sajid,"🌟 Gardens by the Bay – A Beautiful and Relaxing Experience
The light and sound show at 7:45 PM and 8:45 PM is a lovely experience, with synchronized lights dancing to music in the Supertree Grove. It creates a magical …",4,2 months ago,Attractions,,irrelevant
157,Supertree Grove,Dr. Muskan Sharma,"If there’s one thing you absolutely shouldn’t miss in Singapore, it’s the Supertree Grove at Gardens by the Bay — especially at night. I had the most unforgettable experience watching the light and sound show, and it was nothing short of …",4,3 weeks ago,Attractions,,
158,Supertree Grove,jie yong Teo,"Gardens by the Bay’s Supertree Grove is a stunning evening destination—where nature, light, and music create a one-of-a-kind ambiance.
Just steps away, Jussic Food Hall delivers Michelin-quality hawker food in a …",5,2 months ago,Attractions,,
159,Supertree Grove,Ravi Shekhar Agrawal,"Super tree are amazing. Observatory is good, gives nice rooftop view. But if u are also planning marina bay rooftop, can skip supertree observatory. Its NOT for light show. However, sky walk at super tree is a must. Try sky walk around …",5,2 months ago,Attractions,,
160,Supertree Grove,doni ismondo,"Enjoy rapshody show at 19.45 , and next schedule at 20.45. Make sure u arrived before the time and spare ur time after that,  because its very crowded after show in peak hours (maybe holiday season)",5,a month ago,Attractions,,
161,Supertree Grove,Nikhil KH,"A Refreshing Oasis Where Innovation Meets Nature's Embrace
Supertree Grove at Gardens by the Bay is a breathtaking spectacle that redefines the relationship between urban architecture and the natural world. This iconic …",5,2 months ago,Attractions,,irrelevant
162,Supertree Grove,Kaustubh Tripathi,"I visited Gardens by the Bay on a weekday when it was less crowded, and it was absolutely stunning! The futuristic Supertree Grove is breathtaking, with its towering vertical gardens that light up beautifully at night. …",5,4 months ago,Attractions,,
163,Supertree Grove,Rajesh Kanna Subbiah,"Very nicely maintained.
Surprice is that no insects or much birds seen in the whole park. Why???
No idea. …",5,2 months ago,Attractions,,
164,Supertree Grove,Sanna GRAY,Great place to visit. A lot of interesting facts if you are into a bit of education while on holiday. 😅 …,5,a month ago,Attractions,,
165,Supertree Grove,Jo Lee,"The Supertree Grove at Gardens by the Bay in Singapore is a well-known landmark, featuring 18 tree-like vertical gardens. More than just a tourist attraction, these structures serve multiple purposes, including planting, providing shade, …",5,2 months ago,Attractions,,
166,Supertree Grove,Heena Kapoor,"Absolutely stunning! The Supertree Grove sound and light show in the evening is a magical experience that shouldn’t be missed. The towering trees come alive with vibrant lights, perfectly choreographed to music, creating a truly mesmerizing …",5,2 months ago,Attractions,,
167,Supertree Grove,Carl King,"This is amazing, and must do the OCBC Skyway. The artificial trees are beautiful and amazing views from the walkway. Also try to see it at night all lit up.",5,3 weeks ago,Attractions,,
168,Supertree Grove,A A Cra,"These gardens are lovely by day with loads of interesting things to see. But at night it comes to life with a spectacular light and music show. Get there early to find a place to sit, lie back and watch the show.",5,5 months ago,Attractions,,
169,Supertree Grove,Swan,"If you're visiting Singapore, you can’t miss the night show at Gardens by the Bay! Try to arrive a bit early to grab a good spot at Supertree Grove. The view of the Supertrees is just amazing, and the music and lights really set the vibe! …",5,3 months ago,Attractions,,
170,Supertree Grove,Sarker Ayon,"Supertree Grove at Gardens by the Bay is honestly one of the most surreal places I’ve ever visited. Walking among the towering, futuristic tree-like structures—especially at night when they light up during the Garden Rhapsody light and …",5,2 months ago,Attractions,,
171,Supertree Grove,Umabdulrahman albastski,"Wonderful experience
Super recommend for tours
You should go early and choose a nice place so you can see will
The show takes around 20 minutes",5,a month ago,Attractions,,
172,Supertree Grove,Travis Kelly,"Absolutely amazing views. We went up there at night and all the city lights were just beautiful. Amazing picture opportunity with the MBS In the background. Definitely recommend, especially at night.",5,4 months ago,Attractions,,
173,Supertree Grove,Atharv Krishna Aggarwal,"Visted in Apr'25.
Garden by bay (Cloud Dome) is worth a visit once. Mist is activated every even hour which gives a beautiful view. …",2,4 months ago,Attractions,irrelevant,
174,Supertree Grove,Paul,"2 shows per night at 6.45 and 7.45
It does get very busy. We got there 15mins before and could find a place to sit on the floor (everyone sits down). Best way to view is the far side looking back towards the hotel because the 3 trees on this side don't light up.",5,5 months ago,Attractions,,irrelevant
175,Supertree Grove,Nitzan Barchan,"Supertree Grove – A Magical Escape in the Heart of Singapore

Just minutes away from the hustle and bustle of the city, Supertree Grove offers …",5,a month ago,Attractions,,
176,Supertree Grove,Ma Do,"A must-do during day and night. Visiting the Supertrees and Meadow is free, the rest is not. We did the Skywalk, which we enjoyed a lot. Well recommended!",5,a month ago,Attractions,,
177,Supertree Grove,rareș migea,"Great place to visit, there is a light and music show around sunset time which should not be missed. You can walk on the alleys between trees for free, if you want to go up there are 2 options, either the tallest tree or a suspended bridge …",5,6 months ago,Attractions,,
178,Supertree Grove,Mark Warburton,"We went when it was raining and it was so clear of people. We were not able to do the rain forest or flower garden as one was closed for maintenance, so we will be going back at the next opportunity. It is a fanatic place to visit even in the rain.",5,4 months ago,Attractions,,
179,Supertree Grove,Lynn Lim,"Lovely place to walk around after 5pm. The show was canceled but still many tourists didn't read the sign, no staff came to let them know, poor thing, all sit on the flr waiting .",5,3 weeks ago,Attractions,,
180,Supertree Grove,AKash Yadav,"Supertree Grove at Gardens by the Bay is a wonderful spot to spend time with your family, especially if you have kids. The place has a relaxed and welcoming vibe, making it ideal for a slow stroll while taking in the stunning surroundings. …",4,2 months ago,Attractions,,
181,Supertree Grove,Frances Gumapac,The Supertree Grove is an area in Gardens by the Bay where there are these massive towers that have plants growing in and around them. They are lit up at night and have an ethereal glowing effect to them. …,5,2 months ago,Attractions,,
182,Supertree Grove,Volo Ludo,The Supertree Grove is an amazing and beautiful park. The trees are artificial structures that house real and diverse plants. They are in effect planters. For a small and reasonable fee you can go 22 meters up to the walkway or the …,5,5 months ago,Attractions,,
183,Supertree Grove,Miguel,"For the evening shows, its best to arrive up to 1 hour in advance to get a great view and secure goos seats!  It can get super crowded.",5,2 months ago,Attractions,,
184,Supertree Grove,Knicklichtchen,"Impressive views, you can see most of the gardens by the bay, aswell as the marina sans bay.  4 Stars because the skyway is quite expensive for simply being a bridge you can spend max 15 minutes on.",4,a month ago,Attractions,,
185,Supertree Grove,Martin D.,Very nice place. Lightshow is impressive. Prepare for early arrival as traffic gets jammed the hour before the start.,4,a week ago,Attractions,,
186,Supertree Grove,angelo zoras,Spent at least over half a day here . Seen it in pictures and it was better in real . A great idea and invention for creating a green space. Highly recommend.  We didn't realise they change colours to music but without it. It was still spectacular,5,3 months ago,Attractions,,
187,Supertree Grove,Nindya Retnasatiti,"It was beautiful. However, after I took off the bus, there's only 1 small elevator (cmiiw) that quickly packed with strollers. I didn't know if there are other ways, but I followed people in front of me blindedly and it took me around 7 …",5,2 months ago,Attractions,,
188,Supertree Grove,I. Morgan,"The Supertree Grove at Gardens by the Bay is truly iconic. During the day, the structures are impressive and futuristic, rising high above the gardens with incredible views from the OCBC Skyway. But it’s in the evening that the magic really …",5,3 weeks ago,Attractions,,
189,Supertree Grove,Gita Yukio Zhirinovsky S,"I went there to enjoy the Garden Rhapsody show, and it was Stitch themed! So beautiful, relaxing, and absolutely perfect. A magical experience under the glowing Supertrees.",5,2 months ago,Attractions,,
190,Supertree Grove,Pal Coffee lover!,"Few things will beat this great location.
Strolling into Supertree Grove feels like stepping into a sci-fi fantasy grounded in lush greenery. Thirty-plus meters tall, these iconic vertical structures …",5,a month ago,Attractions,,
191,Supertree Grove,Richard Miller,A favorite place in singapore. Try to use the lesser used paths to find new sites sounds and smells.,4,a week ago,Attractions,,
192,Supertree Grove,Lilie Dupont,"An amazing experience, so beautiful and with incredible musics ! a must do in singapore for sure",5,2 weeks ago,Attractions,,
193,Supertree Grove,Garry Ng,"Supertree Grove: Gardens by the Bay's Jewel

Supertree Grove is a marvel of engineering and design. The towering, …",4,2 months ago,Attractions,,irrelevant
194,Supertree Grove,Malcolm Young,"2025: Additional tickets to the observation deck, and canopy walk had be had for small fee.
Although, a light show can be had for no charge at set times.
*****",5,a month ago,Attractions,,
195,Supertree Grove,Lydia Tow,"The light show was quite nice, lovely date idea. They just put on lights to Disney music but I still loved it.",4,a month ago,Attractions,,
196,Supertree Grove,Arafat Rahman,"Supertree Grove is a must-visit gem in Singapore! The towering, futuristic trees are absolutely stunning, especially when lit up at night. …",5,Edited a week ago,Attractions,,
197,Supertree Grove,Lynette Osborne,"We visited in the day and nighttime, very impressive at any time but lightshow is amazing and even more amazing it's free!!!",5,2 months ago,Attractions,,
198,Supertree Grove,Jacob West,"This is really worth the money. Me and my partner brought the package for the Supertree Observatory and the Cloud Forest, which I’d also recommend. The views from the top are breathtaking, giving you a perfect bird’s eye view over the …",5,5 months ago,Attractions,,
199,Supertree Grove,vineeth venugopal,"The Supertree Grove at Gardens by the Bay is an enchanting spectacle—towering vertical gardens that come alive after dusk! The evening light and sound show is absolutely mesmerizing, with vibrant colors sweeping across the sky in harmony …",5,a month ago,Attractions,,
200,Supertree Grove,Sarah,"We really enjoyed our visit to Supertree Grove! We paid around $30 to access the top of the Supertree, and it was absolutely worth it for the stunning city views. The night show was also a highlight—such a magical experience and beautifully done. A definite must-do while in Singapore!",5,4 months ago,Attractions,,
201,Supertree Grove,Ray Bond,Great place to spend an afternoon and evening even if it's only to walk around. Can be crowded and signage pretty ordinary.,5,3 months ago,Attractions,,
202,Supertree Grove,robin thomas,"The Supertree Grove is stunning, especially at night during the light and sound show. It can be busy, but the atmosphere is worth it. Feels like stepping into a sci-fi movie—definitely a must-visit in Singapore!",5,2 months ago,Attractions,,
203,Supertree Grove,Mark Barrett,"Must visit during the day and at night too! Free entry to the gardens by the bay
Daytime walks around here, gives the beauty of the grounds, the awesome tree …",5,6 months ago,Attractions,,
204,Supertree Grove,Emmaline Harris,"Was there for the Borealis light display. Catch it if you are interested.
Every Mon -  8 to 8:30pm
Every Sat/Sun - 9 to 9:30pm
(Fm 19 Apr Show will be fm 9 to 9:30pm)",5,4 months ago,Attractions,,
205,Supertree Grove,Boris Nikitin,"Must see attraction in Singapore! You can walk around for free, some attraction cost money but totally worth it. Very unique experience! Take a rain gear with you in case it gets rainy which happens in time",5,5 months ago,Attractions,,
206,Supertree Grove,Jessica Jessica,"The light show will always be crowded so please make sure you arrive earlier to get the best spot. I was visited on Friday, August 8 and arrived around 10 minutes before the show started. It's really crowded but luckily I managed to seat in …",3,a week ago,Attractions,,
207,Supertree Grove,Chris Kafer,Pretty cool experience. Hung around for the light show later on in the night. Worth a visit.,5,a month ago,Attractions,,
208,Supertree Grove,Paulo Dos Santos Nohara,"The place doesn't have a lot to do or see, it's better to go in the sunset, to take pictures with a little in the day time, and after the beginning of the night. In about 1.5 hours you can see everything. Recommend catching the lights behind the 3 buildings.",4,3 months ago,Attractions,,
209,Supertree Grove,Shawn A,Our second time. The northern lights was incredible. Make sure you get there an hour early and take water.,5,a week ago,Attractions,,
210,Supertree Grove,Tirtayasa Mahendra,"Supertree Grove is stunning, especially at night with the light show. A magical experience you shouldn’t miss in Singapore!",5,a week ago,Attractions,,
211,Supertree Grove,Thắng Trần Mạnh,Supertree Grove is one of the most iconic and unforgettable attractions in Singapore. Visiting it felt like stepping into a futuristic garden straight out of a movie. The towering tree-like structures are stunning both during the day and at …,5,2 months ago,Attractions,,
212,Supertree Grove,Ashley,"Pretty cool light show at night, don't need to come super early to still get a solid view and shows are short (~15 mins) but worth checking out for sure",5,2 months ago,Attractions,,
213,Supertree Grove,Eddie B.,Enjoyable during the day and night. Should plan to visit both times to fully enjoy.,5,2 weeks ago,Attractions,,
214,Supertree Grove,Susanna Luong,"Fun place to visit for locals and visitors. Nice nighttime show, yummy dining hall options. Nice green spaces to check out and spend the day in.",5,4 months ago,Attractions,,
215,Supertree Grove,Jack Newland,Seeing this display at night is something else! It was amazing to go see and highly recommend it. May get a little busy but you will understand why when you see it in person for yourself.,5,3 months ago,Attractions,,
216,Supertree Grove,Yong Jian Rong,Night time light show continues to innovate itself year after year. New rhythm and music for June 2025.,5,2 months ago,Attractions,,
217,Supertree Grove,Mason Tran,Around 8 pm is when the supertree light show begins.  But you need to arrive at least an hour ahead to find a good spot to seat.,5,4 months ago,Attractions,,
218,Supertree Grove,Gatsby,"What a view!!
It is Great place but need to prepare for the hot weather. It has a distance from the MRT station.",4,2 months ago,Attractions,,
219,Supertree Grove,Dabeer Shaikh,"Gardens by the Bay is an absolute must-visit in Singapore! The lush greenery, stunning floral displays, and futuristic Supertree Grove make it a breathtaking experience. The Cloud Forest and Flower Dome are incredible, with a variety of …",5,5 months ago,Attractions,,
220,Supertree Grove,Khaz!,Always enjoy to be at this place watching the lights show.  Come early and fine good place to sit and enjoy the show.,5,2 months ago,Attractions,,
221,Supertree Grove,Alex Brown,Impressive in the day but this really comes alive at night once the tress light up with 1000s of LEDs. Then there is the lightshow... this is what makes the super tree Grove special. Each night there is a musical and light show from the …,5,3 weeks ago,Attractions,,
222,Supertree Grove,Karlo Bravo,Best to go here at night to experience the mesmerizing  light show.,5,a week ago,Attractions,,
223,Supertree Grove,Nafiz Zaman,One of the must visit places while you’re in Singapore. Do not miss out the light shows during the night. They are spectacular.,5,3 months ago,Attractions,,
224,Supertree Grove,Kapil Mistry,Such a nice place ! Amazing views and features of the garden. Was definitely a highlight of my trip.,5,2 weeks ago,Attractions,,
225,Supertree Grove,Rajani Keny,"An absolutely magical experience at Supertree Grove in Gardens by the Bay! The towering supertrees are a stunning sight during the day, but the real magic begins at night with the Garden Rhapsody Light and Sound Show — and the best part? …",5,2 months ago,Attractions,,
226,Supertree Grove,Annikca So'Jhin,"Cave in the afternoon and stayed for the light show, fantastic experience. Plant yourself in a good spot early it fills up fast. To be honest I think from the ground is better than from the walkway.",5,3 months ago,Attractions,,
227,Supertree Grove,Jarrod McTeggart,A surreal free experience in Singapore! I’d highly recommend the free light shows at 7:45 and 8:45. We went on the 4th of May and they did a special Star Wars edition which was amazing! Gets busy quickly so come early if you want a seat. If not plenty of floor space to sit down and watch!,5,3 months ago,Attractions,,
228,Supertree Grove,Veronica Ika,"We arrived before sunset to grab a good spot for the Garden Rhapsody show, and it was definitely worth the wait! The best part? It’s free! If you don’t mind heights, you can pay to watch from the observatory deck, which offers a …",5,6 months ago,Attractions,,
229,Supertree Grove,Ashley Liew,"Always beautiful to observe whether from afar or up close. This is so unique worldwide so I am so proud to have these supertrees right here in Singapore at Gardens by the Bay. Easily accessible by the same named MRT train station (Thomson East Coast Line), and ample space in their car park. Do visit!",5,a month ago,Attractions,,
230,Supertree Grove,Anna-Lee Surynt,This is a must visit when in Singapore. Such a cool experience during the day and at night when it’s all lit up. Make sure you go in the evening for the light show too. It’s beautiful and choreographed to music.,5,7 months ago,Attractions,,
231,Supertree Grove,Bodhisattwa Majumder,"Beautiful garden, merger of technology and nature. If you are visiting for the first time and dont want to walk a lot, take a audio tour (SGD 10), get off near Cloud Forest / Flower dome. If you want to get a bite, try shake shack burger …",4,3 months ago,Attractions,,
232,Supertree Grove,Patrick De Smedt,ost beautiful spectacle in Singapore. beautiful combination of music and light show in the Supertrees. absolute must. admission is free. tip: take something more you can lie on so you don't get a stiff neck from looking up. 😉 …,5,6 months ago,Attractions,,
233,Supertree Grove,Ed Tom,"Omg! Only in Singapore!!
These trees not only can grow substantially but it is the futuristic look that took my breath away..come at night and the view is completely different looks …",5,6 months ago,Attractions,,irrelevant
234,Supertree Grove,David Jowanka,"The supertree grove is impressive and beautiful, and while you should definitely view it during daylight hours, the magic starts at sunset–Garden Rhapsody.
I have seen this light and sound show at least 15 times already, but I still …",5,Edited 2 months ago,Attractions,,
235,Supertree Grove,zee grace,"Super tree Grove is a part of Gardens by the bay.
The biggest super tree over there is the place where you have laser light show at night . Don't miss that show. The trees look like in the picture below during that show. You should first go to the flower dome and Cloud Forest beside it. Don't miss it",5,2 weeks ago,Attractions,irrelevant,
236,Supertree Grove,Maruf Ahmed,"Garden Rhapsody Light Show

Every evening, the Supertrees come alive during Garden Rhapsody, a FREE light …",5,2 months ago,Attractions,,irrelevant
237,Supertree Grove,Ray Kool,"What a beautiful, quiet, shady, interesting, well maintained, public space.  Entry to the biggest tree is 14$ SGD, the views are spectacular, way better than the skywalk (In my opinion)",5,a month ago,Attractions,,
238,Supertree Grove,SANKET SONAWANE,"Supertree Grove is an absolute must-visit when in Singapore! 🌿🌟 These futuristic vertical gardens are not just visually stunning but also an engineering marvel, blending nature and technology seamlessly. …",5,5 months ago,Attractions,,
239,Supertree Grove,khanza aulia,"Waiting for the light show eating at Jurassic Nest food court. There's a dino moving every 30 minutes. Not only my kid, I enjoyed it too 😂 The light show was quite great. I just don't like the aftermath, we had to walk far away to the bus stop 😂 …",5,3 months ago,Attractions,,
240,Supertree Grove,Y. P. ([ Adv. ]),"Gardens by the Bay — these futuristic ""Supertrees"" aren't just beautiful; they're eco-powerhouses, equipped with solar panels and rainwater harvesting systems, turning sunlight into stunning nighttime illumination.",5,3 months ago,Attractions,,
241,Supertree Grove,sa 123,While I have visited Gardens by the Bay several times before it was the lake or exhibitions and the cloud forest and flower dome. This was my first visit to the Super Tree Grove and OCBC walkway.  Thought the walkway was pricey for just 15 …,5,4 months ago,Attractions,,
242,Supertree Grove,Connor Gan,"“What would trees of the future look like?” A weird question that somehow led to a breathtaking answer: giant metal towers wrapped in real plants, glowing like something out of a dream powered by clean energy and ambition. Supertree Grove …",5,2 months ago,Attractions,,
243,Supertree Grove,Daniel Wylie,"Clean, organized and very well maintained facilities. The light show at 7:45pm was fantastic!",5,Edited a month ago,Attractions,,
244,Supertree Grove,Surakul,"Supertree Grove at Gardens by the Bay is an iconic and breathtaking destination, especially in the evening. The highlight is the nightly light and sound show, where the Supertrees are beautifully illuminated in sync with enchanting music, …",5,7 months ago,Attractions,,
245,Supertree Grove,Ernesita Abesamis,"The Borealis light show  was truly captivating. The show starts at 830pm to 9 pm during weekdays, and at 9pm to 930pm during weekends.",5,4 months ago,Attractions,,
246,Supertree Grove,Hannah Lash and Beauty,Singapore is stunningly beautiful and impressive — it’s unbelievable how uniquely the architects have designed everything,5,a month ago,Attractions,,
247,Supertree Grove,Kath Green,You will not be disspointed these are something to see. This large tree has an observation deck and cafe but beware it is very high and not for the faint hearted.,5,3 months ago,Attractions,,
248,Supertree Grove,Samraddi Hegde,"Gardens by the Bay is a breathtaking combination of nature, architecture, and innovation, making it a must-see for anyone visiting Singapore. The iconic Supertree Grove, with its towering vertical gardens, provides a breathtaking visual …",5,Edited 10 months ago,Attractions,,
249,Supertree Grove,Nader B,"Daily lights how at 745 and 845pm. To get a good location, plan to arrived 10 to 15 minutes early.",5,2 months ago,Attractions,,
250,Supertree Grove,Shaz khan,Beautiful show of lights in sync with the music. Hundreds of people here but the ambience was great and a surreal experience.,5,3 months ago,Attractions,,
251,Supertree Grove,Christian Christodoulou,"You can't miss this of you are even in Singapore!! Now ot doesn't matter if you are into botanical gardens or not, this is simply a stunning FREE daily show that you must see. …",5,6 months ago,Attractions,,
252,Supertree Grove,Shahar BY,"Super tree Grove is a very lovely place. And if you remember how the old area is set on an artificial Island it's even more impressive.
My only advice is to get there before sunset so you can skip the heat, see it …",5,7 months ago,Attractions,,
253,Supertree Grove,Craig Holland,"This place never gets old, When ever I come to Singapore, I always make a trip marina bay gardens it's such fantastic engineering achievement and cultural benefit for the country and its people, and money well spent",5,3 months ago,Attractions,,
254,Singapore Discovery Centre,Darius Lim,"We spent quality family bonding time there. We played with Nerf guns and laser guns, made paper airplanes designed by them, and watched a video about Singapore’s history. It’s a great place for family bonding.",5,a month ago,Attractions,,
255,Singapore Discovery Centre,Derrick Lin,"An interesting place to visit, we get to watch 3 local short films, learn the history of Singapore, major events of Singapore and experience being a newscaster. The whole area is quite large and there’s actually a lot of interesting stuffs",5,2 months ago,Attractions,,
256,Singapore Discovery Centre,ZhongMing Thong,A great time place to spend family bonding with a lot of interesting activities and learning about the history of Singapore to the current moment of our times. …,5,4 months ago,Attractions,,
257,Singapore Discovery Centre,Min Kyaw Wai,One best place to know about Singapore. This place is good to doing team building and take a tour with kids. I love this place since I enjoyed learning so much about Singapore.,5,a month ago,Attractions,,
258,Singapore Discovery Centre,Carol Phillips,"As a Singaporean, we get free entry for a free and easy walk around. The tour ($8 for Singaporeans) is good as the guide shares stories that you do not get from a f&e walk",5,3 months ago,Attractions,,
259,Singapore Discovery Centre,WM,"Singapore Discovery Centre is situated at the west end of Singapore.

The place is a children's entertainment and also an attraction  for the tourists.",4,a month ago,Attractions,,irrelevant
260,Singapore Discovery Centre,Muhd Thaqif,"Was led by a tour guide called Javier. One key takeaway from the tour was to experience what it was like to be in the Japanese occupation, to understand what it feels like to have your father taken away from you because of the Japanese forces. This made me appreciate the efforts of the SAF to defend Singapore.",5,a week ago,Attractions,,
261,Singapore Discovery Centre,Jason Soh,Got to learn the history of Singapore with wonderful animations and displays. My tour guide Javier was quick and concise with the tour  while still providing the relevant information during the tour. I learnt about stuff I didn’t know aswell like the cable car incident,5,a week ago,Attractions,,
262,Singapore Discovery Centre,Darryl Lim,"A very informative tour on the history of Singapore, honouring the hardships our forefathers went through that laid the foundation of the modern Singapore we know today. Many memorable exhibits that piqued my interest.",4,2 months ago,Attractions,,
263,Singapore Discovery Centre,David Xie,A very good place to visit not just for tourists but also for family hanging out during weekends. There are galleries and a tiny urban farm showing you not just the military defense history but also how the country responds to the environmental problems such as energy crisis and food shortage.,5,11 months ago,Attractions,,
264,Singapore Discovery Centre,Zhong Yaoyang,"Tour guide Javier is very informative and engaging. One key message that i learn today is that singapore independence and success story did not came easy, and it was hard fought and earn to where we are now.",5,a week ago,Attractions,,
265,Singapore Discovery Centre,Lionel Oo,Great place for those who wish to learn more about Singapore's history! Tour guide Yana was very engaging and knowledgeable as well! Kudos to her!,5,2 weeks ago,Attractions,,
266,Singapore Discovery Centre,Jerri Goh,"Keith
Cool and amazing displays within SDC!! Love all the mini games and interactive activities at the end! …",5,a week ago,Attractions,irrelevant,
267,Singapore Discovery Centre,Edgar Main,Tour guide Javier was very thorough and in depth bringing me through the history of singapore. I learnt that our independence was truly hard fought! Thank you very much Tour guide Javier!,5,a week ago,Attractions,,
268,Singapore Discovery Centre,Josiah Lu,"Javier was our tour guide, what a brilliant tour he provided us with, I was refreshed about the origins of our country and the strengths of our NSmen. The discovery centre was also a great way to learning the many aspects of Singapore and how it differed from other countries.",5,a week ago,Attractions,,
269,Singapore Discovery Centre,nazhan,"The tour was excellent, and Yana was an outstanding guide. She was knowledgeable and friendly. I would definitely recommend her to anyone visiting.",5,2 weeks ago,Attractions,,
270,Singapore Discovery Centre,Rey Sabz,very peaceful and nice food very good.and more activities like listening the history of singapore and also there is a cinema and playround for toodlers.,5,7 months ago,Attractions,,
271,Singapore Discovery Centre,Toby Benedict,"Javier was our tour guide and the tour was quite memorable and interesting, especially the videos in the upper gallery that show the history of Singapore and the importance of national safety",5,a week ago,Attractions,,
272,Singapore Discovery Centre,Keng Ho Chan,Came here as part of a tour during BMT. Mr. Javier helped us understand better our history and linked the key events of the past to the importance of NS. …,5,a week ago,Attractions,,
