Topic,Count,Name,Representation,Representative_Docs
52,20,52_ion_sky_orchard_view,"['ion', 'sky', 'orchard', 'view', 'floor', 'free', 'floors', '55th', 'mall', 'level']","[""Discovered Level 55 of Ion Orchard!\nDo note that there's an elevator on Ion level 4 to lead you up to Ion Sky! (It's located next to the concierge counter) …"", 'ION Sky as always- a wonderful place to visit with your loves ones and friends from overseas!! Great work ION Orchard:)', ""ION Sky: Views You Need to Strategize For!\n\nWant incredible Singapore skyline views? Head to ION Sky at ION Orchard. It's …""]"
53,20,53_mala_collagen_soup_hideout,"['mala', 'collagen', 'soup', 'hideout', 'scrambled', 'ingredients', 'tried', 'yishun', 'kick', 'dry']","['We can never get enough of their Singaporean-style mala, especially the Mala Collagen Soup with creamy scrambled eggs! The deep-fried lotus roots, potatoes, and dory fish are must-orders each visit. …', 'Love their collagen soup and mala dry version! Favourite part is the fried potatoes & scrambled egg :)', 'Spacious, clean and much brighter than before. Love that the prices stayed the same even after the move. The mala collagen broth is rich and flavourful, and the dry mala has that perfect smoky kick. Lots of fresh ingredients to choose from too. Still our go-to for a satisfying mala fix.']"
54,19,54_catering_tims_tim_chef,"['catering', 'tims', 'tim', 'chef', 'team', 'events', 'fine', 'his', 'event', 'presentation']","[""I recently had the opportunity to work with Tim's Fine Catering team for a high profile event. The food and event support provided by Chef Tim and his team (shoutout to Cheryl, Corrine, and Azman) were amazing. I'm looking forward to our next collaboration!"", 'As a longstanding patron of Tim’s Fine Catering, I can confidently say that no one does fine dining catering in Singapore quite like Chef Tim and his exceptional team. Over the years, I’ve been consistently impressed—not just by the …', 'Tim’s Fine Catering does an awesome job with high end catering for events with particular emphasis on the food presentation. They are our first choice for events! The entire team with Chef Tim’s leadership make sure we have a seamless event experience. Thank you Chef Tim🙏 …']"
55,19,55_udon_tempura_soup_kitsune,"['udon', 'tempura', 'soup', 'kitsune', 'upsize', 'texture', 'beef', 'mentaiko', 'flat', 'idaten']","['The udon texture is good, smooth and chewy. Soup is a dashi with pork, like that they provide a bowl of tempura crumbs at the side for customers to add to their udon, it gives a nice texture contrast to the slurpy udon. Added prawn and …', 'Always a fuss-free and consistent eat here. Having tried the usual beef udon soup, curry beef udon, mentaiko udon, kimchi pork udon - it’s all tasty for its price 👌😌 …', 'one of the best udon places out there, frequent it pretty often. love their mapo tofu udon and kitsune udon, even got a free upsize!']"
56,19,56_tour_guide_yana_keith,"['tour', 'guide', 'yana', 'keith', 'knowledgeable', 'informative', 'singapores', 'was', 'sdc', 'history']","['Tour guide: Yana\nThe tour was extremely interesting as i get to relive what life was like in singapore before urbanisation. The guide was very helpful and patient with explaining parts of the tour.', 'It was such a fruitful and eye opening experience and yana was a very knowledgeable tour guide and made the tour fun and engaging. 100% recommend.', ""Yana was a very nice and fun tour guide. The tour itself was very informative showcasing Singapore's history.""]"
57,18,57_omakase_rhubarb_chef_lunch,"['omakase', 'rhubarb', 'chef', 'lunch', 'had', 'encore', 'veal', 'enjoyed', 'paul', 'ohno']","[""Rhubarb's food was really great. We had lunch omakase.\n\nWe loved the main course, the meat was perfectly cooked with delicious mushrooms …"", 'Had 5-course lunch Omakase. Cozy atmosphere with friendly staff. Enjoyed the food creation by Chef Paul and team, especially the truffle emulsion. I’m happy with their wine recommendation too.', '“Love love love”\n\nOne of the best omakase in Singapore. We ordered the chef omakase and loved every dish. Cannot wait to be back and bump it to a five star review.']"
58,17,58_weather_lots_dog_water,"['weather', 'lots', 'dog', 'water', 'place', 'lily', 'outdoor', 'sunday', 'fans', 'around']","['I nice and tranquil place. The place to go if you need a breather and some peace. You can also buy stuff like water and ice cream there, which is nice when the weather is hot. The Orchid Garden is a beautiful place, and worth the small fee to get into (otherwise you can just enjoy the free part of the park).', 'A quiet oasis amidst the bustling city.  Tall majestic trees, historical sites and meandering paths invite you to explore and discover this precious gem.  Lots of picturesque spots for photos other than the crowded fort caning park tree tunnel.  I go there to seek solitude and to rest my weary eyes on the gorgeous greeneries.', 'brought my dog here on a sunday afternoon, it was quiet and peaceful. the water lily garden was beautiful and my favourite. Lots of benches and washrooms along the way, all very clean. sat at the water lily pavilion admiring the view. great place to spend time in nature']"
59,16,59_beach_bike_cycling_showers,"['beach', 'bike', 'cycling', 'showers', 'clean', 'toilets', 'sea', 'hire', 'improvements', 'available']","['Nice beach with good view of ships, behind the beach a well planned park situated and some food shops also available car parking available', 'Great beach. Good running and cycling path. Lots of different facilities - bike rental, water sports, public bbq, restaurants, toilets and showers etc.', 'Great place. Really cheap bike hire 1 SGD for 30 mins. However problem for us as we had 3 kids that needed their own bikes and the bike companies only let you hire 1 bike per account. The beach is clean and toilets worked well for showers. …']"
60,16,60_gardens_bay_singapore_by,"['gardens', 'bay', 'singapore', 'by', 'trip', 'in', 'breathtaking', 'cloud', 'forest', 'flower']","['Gardens by the Bay in Singapore is an amazing and beautiful park that shows how you can combine a city with gardens. There are amazing botanical gardens, well-kept plants and flowers, and neat paths that are fun to walk on. The highlight of …', 'Gardens by the Bay is a must-see in Singapore! We really enjoyed our time there, you could easily spend a whole day exploring it all. The glasshouses are the highlight; both the Cloud Forest and Flower Dome are amazing, with a great mix of …', 'Gardens by the Bay is an absolute must-visit in Singapore! The lush greenery, stunning floral displays, and futuristic Supertree Grove make it a breathtaking experience. The Cloud Forest and Flower Dome are incredible, with a variety of …']"
61,16,61_les_amis_michelin_dining,"['les', 'amis', 'michelin', 'dining', 'french', 'fine', 'star', 'refined', 'culinary', 'memorable']","['Les Amis in Singapore is a 3-Michelin-star fine dining restaurant, perfect for a special occasion. From the moment we arrived the service was friendly and attentive, and the atmosphere is calm and refined. …', 'From the moment I stepped into Les Amis, it was clear that the experience would be nothing short of exceptional. Nestled in the heart of Singapore, Les Amis has set a high bar for fine dining with its meticulous attention to detail and a …', 'Les Amis: A Michelin Star Dining Experience\n\nLes Amis is a fine-dining French restaurant located in Singapore that has been …']"
62,16,62_garden_play_nice_science,"['garden', 'play', 'nice', 'science', 'beautiful', 'very', 'beneficial', 'kiddies', 'amd', 'grandson']","['They have nice garden, Nice place to visit !!!', 'The garden never change since i went there during my school days. It helps the kids understand the kinetic energy and how they works or what it is beneficial for. Inside science centre is cold so if you want to do science amd get you body warm, you can go to this park and learn without feeling cold!', 'Nice garden to visit.']"
63,14,63_science_kids_learn_educational,"['science', 'kids', 'learn', 'educational', 'experiments', 'distraction', 'fun', 'educate', 'related', 'mirror']","['I AM URANUS! This will never not be funny. But jokes aside, science centre is great with kids. Can easily spend a whole day here. Some of the exhibits are a bit dated, especially the one that ironically deals with aging…', 'Science Centre is one of the most educational and enjoyable places I have been too. It has a multiple attractions like mirror maze and a VR flying experience when I visited. There were also other attractions that can educate you on …', 'How does such games machine educate visitors on science? It is a distraction to the kids . the kids should be here to experience and try hands on science related equipment and exhibits. Please seriously consider removing such distraction.']"
64,14,64_burnt_ends_meat_cooking,"['burnt', 'ends', 'meat', 'cooking', 'vibe', 'dishes', 'third', 'charcoal', 'bar', 'oil']","['It was first time to visit Burnt Ends and it was worth it to have a great experience in here. All of dishes are so fresh and nice. The meat was tender, variance of cooking on meat was nice (such as starting with raw meat, pulled pork and …', 'Burnt Ends is an absolute must-visit for meat lovers! The lively, open-kitchen atmosphere creates an exciting dining experience. My family and I were blown away by the exceptional quality of the meat. The signature Burnt Ends were tender …', 'This was our second visit to Burnt Ends, and it was just as impressive as the first. …']"
65,14,65_chinatown_pagar_tanjong_bukit,"['chinatown', 'pagar', 'tanjong', 'bukit', 'pasoh', 'railway', 'park', 'staircases', 'kranji', 'saik']","['Nice park that links Chinatown to Tanjong Pagar.', 'Interesting and idyllic park connecting Tanjong Pagar and Chinatown that cuts across Keong Saik and Bukit Pasoh stretches of establishments', 'Nice little park that links Chinatown to Tanjong Pagar']"
66,14,66_cloud_forest_waterfall_indoor,"['cloud', 'forest', 'waterfall', 'indoor', 'mountain', 'greeted', 'enter', 'aweinspiring', 'you', 'escape']","['2025: With such impressive architecture around Singapore, Cloud Forest is top of my list.\nAn indoor botanical garden, with canopy walk and waterfall?!! …', 'Cloud Forest at Gardens by the Bay is an absolutely stunning and awe-inspiring destination, perfect for anyone who appreciates nature and innovative architecture. The highlight is the iconic “Cloud Mountain,” a towering indoor waterfall …', '🌿 Cloud Forest – A Magical Escape into Nature\n\nAbsolutely breathtaking! The Cloud Forest is one of the most unique and …']"
67,13,67_service_dishes_wise_notch,"['service', 'dishes', 'wise', 'notch', 'improved', 'feel', 'are', 'seats', 'food', 'good']","['Tried this branch today. While they are not serving the usual menu items due to CNY, their dishes are as usual did not disappoint me. My family likes the food, taste was good, service was good as well. Highly recommended.', 'Overall food is ok but the experience can be better. Service wise, I feel that the staff attitude can be improved such that you feel welcome.  The seats in-between tables abit tight, so you may feel uncomfortable.  Price wise is so so.', 'Good service and good. Very busy service crew though looks under staffed though.\nFish soup is a must try. Less spicy mala soup base is just nice.\nSesame sauce is a little under whelming but otherwise a nice dining experience']"
68,12,68_thank_your_feedback_you,"['thank', 'your', 'feedback', 'you', 'hope', 'soon', 'appreciate', 'again', 'hi', 'experience']","['Hi Hardeep,\nThank you for the rating! We’re glad you enjoyed your experience at &JOY and hope to see you again soon.', 'Thank you for your feedback. We’re sorry for your experience and truly appreciate your honesty. We’ll use your feedback to address these issues and bounce back better. We hope to serve you again and provide a much-improved experience.', ""Thank you for your feedback. We're sorry to hear about your experience and will use your comments to improve. We’d appreciate more details to understand what went wrong and hope to serve you better next time""]"
69,12,69_hotpot_soup_ingredients_personal,"['hotpot', 'soup', 'ingredients', 'personal', 'fruits', 'fresh', 'choose', 'individual', 'pots', 'wide']","['First time had a personal hotpot with my bf. Had a precious dinner here as we can choose our favourite soup and ingredients. Really delicious and worth the price. Free flow of snacks, sauces, condiment and soup. No wonder so many people queue for it. Best to reserve a seat before you go.', 'personal hotpot! Many soup choices. you can also get double soup pots! seafood were fresh. meat thinly sliced. free flow sauces and fruits!', 'Enjoyed my hotpot experience here. The soup was really tasty, and the individual pots allowed each person to enjoy their own choice of soup - a great feature! The ingredients were fresh, and the staff were friendly and attentive. A great spot for a hotpot meal with good service!']"
70,12,70_miam_westgate_fuwa_berry,"['miam', 'westgate', 'fuwa', 'berry', 'flavorful', 'at', 'frenchjapanese', 'we', 'really', 'share']","['I had a wonderful dining experience at Miam Miam, Westgate. The food was superb — flavorful, well-presented, and satisfying. What really stood out, though, was the outstanding service. Jacqueline, in particular, was incredible. She was …', 'Looking for a place for lunch because we are venturing out to the west at Jurong East. Got many choices with superb review at Westgate. We decided on Miam Miam. …', 'We had a recent team dinner at Miam Miam French Japanese Café Kitchen (Westgate) and overall, it was a mixed experience.\nThe food was really good – beautifully presented and flavorful. Their matcha …']"
71,12,71_pizza_hut_crust_toppings,"['pizza', 'hut', 'crust', 'toppings', 'awhile', 'pizzas', 'accommodating', 'making', 'point', 'jurong']","['The food was great tasting as usual. The atmosphere was quite conducive for a meal. We were very impressed with how accommodating the service staff were. They were friendly and attentive to our order, and took special note of our requests. For the Pizza hut restaurant at Jurong Point.', ""It's been awhile eating at pizza hut restaurant. Jurong Point branch brightly lit up, ambience is good and service staffs is proactive. Kudos to Linda fr being so friendly and accommodating."", 'I had a fantastic experience at Pizza Hut! The food was absolutely delicious—especially the pizza, which had a perfectly baked crust and generous toppings. I tried the supreme pizza, and it was fresh, flavorful, and piping hot when served. …']"
72,12,72_healthy_food_potion_fanatastic,"['healthy', 'food', 'potion', 'fanatastic', 'pros', 'describe', 'tasty', 'mediocre', 'good', 'except']","['Good Excellent fanatastic what else to describe their food.', 'Potion is generous.\nFood really tasty 😋\nI feel healthy …', 'Delicious, healthy food?\n\nMediocre at best. …']"
73,12,73_gardens_plants_plant_are,"['gardens', 'plants', 'plant', 'are', 'how', 'these', 'smells', 'sections', 'largest', 'botanic']","[""Probably the largest botanic gardens I've ever seen...I significantly underestimated how large the gardens are. Tons of smaller themes gardens within, as well as spaces to relax, have a picnic, or just hang out. Not to mention the MRT stops …"", 'Super loved this place. Perfect for plant, flowers, cactus and succulent lovers. It was so amazing how diverse the plants here are and was wondering how do they take care and maintain all of it. You can feel how fresh the air inside and …', 'Truly, a world class experience. Family and I spent about half a day touring the gardens. So beautiful. The displays of various plants from around the world were very well done and expertly curated. From desert plants to rainforest, they …']"
74,11,74_seafood_peri_fresh_gong,"['seafood', 'peri', 'fresh', 'gong', 'their', 'prawns', 'great', 'updating', 'barramundi', 'lobsters']","['Nice seafood  restaurant  Good food there', 'Very good food for great prices. Lots of variety, mainly seafood. Took saled egg yolk prawns (delicious), gong gong and hor fun seafood. Satisfied tummy!', 'EDIT: the previous review was apparently a one-off thing, she just had a bad day. Updating my score. I recommend the otah, squid and steamed fish. Other dishes can be hit or miss. I dislike that they cook the broccoli with frozen seafood …']"
75,11,75_safari_animals_tram_animal,"['safari', 'animals', 'tram', 'animal', 'ride', 'night', 'zoo', 'dark', 'naturalistic', 'habitats']","['Good place for spending the time. Dont expect too much. Its more of show & a tram ride through the zoo (different parts of zoo). During tram ride u may be able to see 50% of the animal as they r still hiding in d dark (expected). The walking trail is better.', 'Good way to see the different types of wild animals like in the zoo during the night time. The animals are fed during the visit time and hence it can be spotted. Walking safari trial is the best for the nature and animal lovers to watch …', 'I had a wonderful experience at the Night Safari in Singapore! The highlight for me was definitely the tram ride — it was relaxing, informative, and gave us a great view of the animals in their naturalistic habitats. The animal show was …']"
76,10,76_nasi_briyani_lemak_soto,"['nasi', 'briyani', 'lemak', 'soto', 'cleanliness', 'thosai', 'options', 'lunch', 'lui', 'boot']","[""The food is quite well-priced and worth for their portion. I only tried the Nasi Briyani and Thosai but I can say that both of them are very flavourful. Service of food is fast. It was a bit loud and not nice because got smokers but apparently there's an indoor place but sad we didn't know lor"", ""Nan, poori, thosai, prata and satay is the safest choices. The rest is a gamble. Their rice is mostly 90% cooked only. Seafood is bad. Not many patronising their seafood is here thus all being old stock. Parking is tough. Roaches at wee hours. Petrol smell imminent cause it's beside a gas station."", ""Can be crowded. Went there around 10am for a beehoon soto. It tastes good but its salty. Maybe try the nasi lemak next time? But i doubt their nasi lemak will taste better than latiffa huri's. 😅😅 simple soto costs $4 …""]"
